Department,Department Code,Program Code,DRF Program,Description EN,Description FR
Atlantic Canada Opportunities Agency,12,BED01,Inclusive Communities,"For an economically diversified Atlantic Canada, communities must have the capacity and resources to be more inclusive; and for sustainable growth, entrepreneurs must be equipped to be competitive on the global market. Geographic communities and communities of interest, such as industry associations and non-profit organizations, need to invest in initiatives that stimulate economic growth. The Agency works with these communities through strategic investments to increase human capacity of people and organizations to increase and sustain growth and well-being. The lack of business capital available in rural regions impedes the establishment and expansion of small and medium-sized enterprises essential to the vitality and sustainability of communities. The Agency provides targeted support to Community Business Development Corporations (CBDCs) in Atlantic Canada, which provide essential investment capital focused on small rural businesses, and other services including business counselling and skills development. This program targets groups such as youth, women, Indigenous people, immigrants, including international students. It is well aligned with the Atlantic Canada Opportunities Act and its activities, which include support for enterprises, business associations and community organizations, as well as other activities aimed at improving the business environment.","Pour que le Canada atlantique soit ‚conomiquement diversifi‚, les collectivit‚s doivent avoir les capacit‚s et les ressources pour devenir plus inclusives; et pour une croissance viable, les entrepreneurs doivent ˆtre concurrentiels sur le march‚ mondial. Les collectivit‚s g‚ographiques et les communaut‚s d?int‚rˆts, comme les associations industrielles et les organismes sans but lucratif, doivent investir dans les projets qui stimuleront la croissance ‚conomique. L?Agence travaille avec ces collectivit‚s en faisant des investissements strat‚giques qui favorisent l?accroissement de la capacit‚ humaine des personnes et des organisations afin d?accroŒtre et de maintenir la croissance et le bien-ˆtre. Le manque de capitaux dans les r‚gions rurales nuit … la mise sur pied et … l?expansion des petites et moyennes entreprises essentielles … la vitalit‚ et … la durabilit‚ des collectivit‚s. L?Agence fournit un appui cibl‚ aux corporations au b‚n‚fice du d‚veloppement communautaire (CBDC) au Canada atlantique qui fournissent des fonds d?investissement essentiels ax‚s sur les petites entreprises rurales et sur d?autres services, dont des conseils commerciaux et le perfectionnement des comp‚tences. Ce programme vise les groupes cibles tels que les jeunes, les femmes, les Autochtones, les immigrants et les ‚tudiants ‚trangers. Il s?harmonise bien avec la Loi sur l?Agence de promotion ‚conomique du Canada atlantique et les activit‚s connexes, dont le soutien des entreprises, des associations de gens d?affaires et des organismes communautaires, ainsi que d?autres activit‚s li‚es … l?am‚lioration du contexte commercial."
Atlantic Canada Opportunities Agency,12,BED07,Policy Research and Engagement,"The Policy, Research and Engagement (PRE) program is central to identifying and effectively responding to opportunities and challenges facing the regional economy. PRE provides intelligence, analysis and well-grounded advice on a broad range of issues and topics, and it informs and supports the Atlantic Canada Opportunities Agency (ACOA) and ministerial decision making. PRE helps carry the Agency?s agenda forward and ensures that ACOA remains relevant and responsive to opportunities and challenges by offering strategic, researched policy positions that reflect the region?s potential, by influencing national policies, and by coordinating other policies and programs within the region to form integrated approaches to economic development. Clients include economic, business and industry associations, post-secondary educational institutions, research institutions and organizations, independent researchers, and other federal government ministers. PRE programming is well aligned with the ACOA Act and the types of activities mandated under the Act, which includes support for enterprises through policy and program, and through advocacy of the interests of Atlantic Canada in national policies and programs.","Le programme Recherche strat‚gique et mobilisation est essentiel pour cerner les occasions et les d‚fis propres … l?‚conomie r‚gionale et pour y donner suite efficacement. Le programme offre des renseignements, des analyses et des conseils bien fond‚s sur un ‚ventail de questions et de sujets, et appuie la prise de d‚cisions avis‚es … l?‚chelle de l?Agence de promotion ‚conomique du Canada atlantique (APECA) et par le ministre. Il aide l?Agence … remplir son mandat et … demeurer pertinente et sensibilis‚e aux occasions et aux d‚fis en offrant des positions strat‚giques et fond‚es en matiŠre de politiques qui tiennent compte du potentiel de la r‚gion; en influen‡ant les politiques nationales; et en coordonnant la cr‚ation d?autres politiques et programmes dans la r‚gion pour constituer des d‚marches int‚gr‚es en matiŠre de d‚veloppement ‚conomique. Les clients comptent des associations ‚conomiques, commerciales et sectorielles, des ‚tablissements d?enseignement postsecondaire, des ‚tablissements et des organismes de recherche, des chercheurs ind‚pendants et d?autres ministres f‚d‚raux. Ce programme s'harmonise bien avec la Loi sur l?APECA et les types d?activit‚s pr‚vus par celle-ci, dont le soutien des entreprises au moyen de politiques et de programmes et la d‚fense des int‚rˆts du Canada atlantique dans le cadre des politiques et des programmes nationaux."
Atlantic Canada Opportunities Agency,12,BED06,Trade and Investment,"The Atlantic Canada Opportunities Agency (ACOA) pursues trade and investment opportunities with a view to increase the number of exporters and the volume of export sales, attract foreign direct investment and support the commercialization of technology. The Agency promotes Atlantic Canada abroad as a world leader in various fields and ways such as: energy production; export and research; a centre of innovation; a skilled labour pool; a reliable supplier of quality products at competitive prices; and the gateway to the North American market. The Agency plays a role in coordinating the efforts of federal, provincial and private-sector organizations in Atlantic Canada in pursuing trade and investment opportunities. Clients include businesses, non-profit organizations, learning and research institutions, and provincial governments. ACOA also strives to build a foundation for long-term growth through global competitiveness thanks to its tourism work, primarily through the commercial and non-commercial elements of the Business Development Program. As an economic sector, tourism offers significant wealth and job creation opportunities for small and medium-sized enterprises (SMEs). This program is well aligned with the ACOA Act and the types of activities mandated under the Act, which includes support for enterprises, and support for business associations and other activities related to improving the business environment.","L?Agence de promotion ‚conomique du Canada atlantique (APECA) cherche … saisir les occasions de commerce et d'investissement en vue d?accroŒtre le nombre d?exportateurs et le volume des ventes … l?exportation, d?attirer des investissements ‚trangers directs et d?appuyer la commercialisation des technologies. L?Agence fait connaŒtre le Canada atlantique … l?‚tranger en tant que chef de file mondial dans divers domaines et de diverses maniŠres, notamment : la production d?‚nergie; l'exportation et la recherche; un centre d?innovation; un bassin de travailleurs qualifi‚s; un fournisseur fiable de produits de qualit‚ … des prix concurrentiels; et la porte d?entr‚e du march‚ nord-am‚ricain. Elle joue un r“le dans la coordination des efforts des organismes f‚d‚raux, provinciaux et du secteur priv‚ du Canada atlantique qui cherchent des occasions de commerce et d'investissement. Les clients comptent des entreprises, des organismes sans but lucratif, des ‚tablissements d?enseignement et de recherche et les gouvernements provinciaux. En outre, l?APECA s'efforce d'‚tablir les fondements d?une croissance … long terme grƒce … la comp‚titivit‚ … l?‚chelle mondiale de ses activit‚s touristiques, principalement … l?aide des ‚l‚ments commerciaux et non commerciaux du Programme de d‚veloppement des entreprises. En tant que secteur ‚conomique, le tourisme offre aux petites et moyennes entreprises (PME) des possibilit‚s importantes de cr‚ation de richesse et d?emplois. Ce programme s?harmonise bien avec la Loi sur l?APECA et les types d?activit‚s pr‚vus par celle-ci, dont le soutien des entreprises et des associations de gens d?affaires, ainsi que d?autres activit‚s li‚es … l?am‚lioration du contexte commercial."
Atlantic Canada Opportunities Agency,12,BED05,Business Growth,"The Atlantic Canada Opportunities Agency (ACOA) invests in business growth to enhance Atlantic Canadians? access to the information and financing they need to grow a business. This enables businesses to become more innovative, productive and grow, which generates wealth and jobs. Investments are made through direct repayable and non-repayable contributions to businesses that increase their competitiveness with activities aimed at productivity improvements (new technology/equipment purchase), cleantech adoption/adaptation, start-ups, expansions, modernizations, and domestic marketing. Non-repayable contributions are made to non-profit organizations such as business and economic development associations supporting business start-up and clean growth. ACOA also administers Canada Business, a comprehensive source of information on government services, programs, regulations and resources for businesses. By reducing the complexity of dealing with governments, Canada Business helps the business development process. This program is well aligned with the ACOA Act and its activities, including support for enterprises and business associations, and other activities aimed at improving the business environment.","L?Agence de promotion ‚conomique du Canada atlantique (APECA) investit dans la croissance des entreprises pour am‚liorer l?accŠs des gens du Canada atlantique … l?information et au financement requis pour faire croŒtre une entreprise. Ces investissements aident les entreprises … ˆtre plus novatrices et productives et … prendre de l?expansion, ce qui cr‚e de la richesse et des emplois. Ils sont r‚alis‚s en fournissant des contributions directes remboursables et non remboursables aux entreprises pour leur permettre d?augmenter leur comp‚titivit‚ par l'entremise d'activit‚s favorisant une productivit‚ accrue (achat de nouvelles technologies ou d?‚quipement), l?adoption et l'adaptation de technologies propres, le d‚marrage, l?agrandissement et la modernisation d?entreprises, et la commercialisation int‚rieure. Des contributions non remboursables sont vers‚es … des organismes sans but lucratif, comme des associations de d‚veloppement ‚conomique et d?entreprises, qui appuient le d‚marrage d?entreprises et la croissance propre. De plus, l?Agence administre Entreprises Canada, une source complŠte d?information sur les services, programmes, ressources et rŠglements gouvernementaux … l?intention des entreprises. En r‚duisant la complexit‚ des relations que les entreprises doivent entretenir avec les divers ordres de gouvernement, Entreprises Canada contribue au processus de d‚veloppement des entreprises. Ce programme s?harmonise bien avec la Loi sur l?APECA et les activit‚s connexes, dont le soutien des entreprises et des associations de gens d?affaires, et d?autres activit‚s li‚es … l?am‚lioration du contexte commercial."
Canada Economic Development for Quebec Regions,141,BLL01,Business Innovation and Growth,"CED supports business innovation and growth to foster the prosperity of Quebec's economy and generate high-quality jobs. Among businesses, SMEs are a fundamental driver of economic development. CED helps boost business innovation and growth by supporting the efforts of businesses to build their capacity to develop/adopt and market new products, processes and services; enhance exports; increase productivity; expand; and participate in the digital transition and clean growth. CED fosters business innovation and growth which primarily targets businesses and the non-profit organizations that support them.","DEC appuie l?innovation et la croissance des entreprises afin de soutenir la prosp‚rit‚ de l?‚conomie du Qu‚bec et de cr‚er des emplois de qualit‚. Parmi l?ensemble des entreprises, les PME sont un acteur essentiel du d‚veloppement ‚conomique. DEC parvient … stimuler l?innovation et la croissance des entreprises en appuyant leurs efforts pour renforcer leur capacit‚ … d‚velopper ou … adopter de nouveaux produits, proc‚d‚s et services, et … les commercialiser, … rehausser les exportations, … accroŒtre leur productivit‚, … prendre de l?expansion et … participer … la transition num‚rique et … la croissance propre. Son intervention s?effectue principalement auprŠs des entreprises et par l?entremise d?organismes … but non lucratif qui les appuient."
Canada Economic Development for Quebec Regions,141,BLL02,Community Economic Development and Diversification,"CED supports community economic development and diversification with a view to fostering economic prosperity in Quebec and creating good jobs for the middle class. CED?s activities primarily target non-profit organizations with an economic orientation, and businesses. Diversification is an essential prerequisite for the growth and resilience of regional economies, particularly in single industry communities. CED is thus helping to build more attractive, competitive and inclusive regions. It brings this about by providing support for local and regional enterprises, and by developing strategies and engagement plans and community economic facilities to strengthen local economies and promote community engagement. It also achieves this by boosting strategic investments through the development and promotion of regional assets to attract tourists from outside Quebec as well as international organizations. Moreover, CED supports the economic inclusion of minority communities by supporting their economic development activities. It also supports community economic diversification and development by offering communities located outside major urban centres necessary resources to identify and apply local solutions to their problems.","DEC appuie le d‚veloppement et la diversification ‚conomique des collectivit‚s afin de soutenir la prosp‚rit‚ de l?‚conomie du Qu‚bec et de cr‚er des emplois de qualit‚ pour la classe moyenne. Son intervention s?effectue principalement auprŠs d?organismes … but non lucratif … vocation ‚conomique et d'entreprises. La diversification est un pr‚requis indispensable pour la croissance et la r‚silience des ‚conomies r‚gionales, particuliŠrement celles qui d‚pendent d?un seul secteur. DEC contribue ainsi … bƒtir des r‚gions plus attirantes, comp‚titives et inclusives. Il y parvient en soutenant les entreprises … rayonnement local et r‚gional; le d‚veloppement des strat‚gies et des plans de mobilisation et les ‚quipements collectifs ‚conomiques qui visent … renforcer le tissu ‚conomique local et qui favorisent la mobilisation du milieu. Il y arrive ‚galement en stimulant les investissements strat‚giques par le d‚veloppement et la promotion des atouts r‚gionaux de maniŠre … attirer des touristes hors-Qu‚bec et des organisations internationales. DEC soutient ‚galement l?inclusion ‚conomique de communaut‚s minoritaires en les appuyant dans leurs efforts de d‚veloppement ‚conomique. DEC appuie aussi le d‚veloppement et la diversification ‚conomique des collectivit‚s en offrant aux collectivit‚s situ‚es … l?ext‚rieur des r‚gions m‚tropolitaines, les ressources n‚cessaires pour cerner et appliquer des solutions locales."
Canada Economic Development for Quebec Regions,141,BLL03,Targeted Transition Support,"CED supports Quebec communities, when necessary, to deal with an economic shock, a natural or human disaster or major economic issues. CED achieves this through dedicated additional funding from the Government of Canada. Its intervention is mainly with businesses, cities and municipalities or through non-profit economic organizations. CED also delivers targeted priority initiatives for the Government of Canada in Quebec. For example, CED supports women entrepreneurs through the Strategy for Women in Entrepreneurship to help them grow their existing businesses or start new ones.","DEC appuie les collectivit‚s du Qu‚bec, lorsque n‚cessaire, … faire face … un choc ‚conomique, … un d‚sastre naturel ou humain ou encore … des enjeux ‚conomiques majeurs. DEC y parvient par le biais d?un financement suppl‚mentaire d‚di‚ du gouvernement du Canada. Son intervention s?effectue principalement auprŠs des entreprises, des villes et municipalit‚s ou par l?entremise d?organismes … but non lucratif … vocation ‚conomique. DEC assure aussi la prestation au Qu‚bec d?initiatives prioritaires cibl‚es pour le gouvernement du Canada. Par exemple, DEC appui les femmes entrepreneures au moyen de la Strat‚gie pour les femmes en entrepreneuriat dans le but de les aider … faire croŒtre leur entreprise existante ou … d‚marrer de nouvelles entreprises."
Canada Institutes of Health Research,74,BUI03,Research in Priority Areas,"This program provides funding for targeted grants and awards aimed at addressing priority areas. Priorities are identified by CIHR in consultation with other government departments and agencies, partners and stakeholders. The program mobilizes researchers, patients, health providers, and decision makers to conduct research, enable knowledge translation and build capacity in the priority areas. It often requires collaboration within and across sectors.","Ce programme offre des subventions et des bourses cibl‚es dans les domaines prioritaires. Les priorit‚s sont ‚tablies par les IRSC en consultation avec d?autres ministŠres et organismes gouvernementaux, des partenaires et des intervenants. Le programme mobilise des chercheurs, des patients, des fournisseurs de soins de sant‚ et des d‚cideurs afin qu?ils participent … la conduite de travaux de recherche, favorisent l?application des connaissances et renforcent les capacit‚s dans les domaines prioritaires. Il n‚cessite souvent des collaborations intrasectorielles et intersectorielles."
Canada Institutes of Health Research,74,BUI01,Investigator-Initiated Research,"This program provides funding to conduct research in any area related to health aimed at the discovery and application of knowledge. Funding is provided to researchers and academic organizations to conduct research, translate knowledge, and build capacity through research training and salaries. Applicants identify and propose the nature and scope of the research and compete for support by demonstrating excellence and the potential impact the research will have on health systems and/or health outcomes.","Ce programme offre des fonds de recherche dans tout domaine li‚ … la sant‚ visant la d‚couverte et l?application de connaissances. Le financement est fourni aux chercheurs et aux ‚tablissements universitaires pour qu?ils mŠnent des travaux de recherche, appliquent les connaissances et renforcent les capacit‚s par la formation en recherche et l?octroi de salaires. Les candidats d‚terminent et proposent la nature et l?‚tendue de la recherche, puis se livrent concurrence pour obtenir du financement en d‚montrant leur excellence et l?impact potentiel de leur recherche … l?‚gard des systŠmes de sant‚ ou des r‚sultats sur la sant‚."
Canadian Heritage,122,BSD03,Cultural Industries Support and Development,"This program fosters the creation, development of, access to, and consumption of diverse Canadian cultural content at home and abroad. Through the delivery of grants, contributions and certification for tax credit purposes, the Department ensures that a wide range of Canadian content is produced and marketed across a variety of media, including books, periodicals, music, film and television, and innovative applications on multiple platforms. It encourages sound and sustainable business and industry practices and the establishment of partnerships at the national and international levels. This program co-administers two refundable tax credit programs with the Canada Revenue Agency through audiovisual production certification. It also provides advice on policies, legislation and regulatory measures for cultural industries.","Le programme favorise la cr‚ation et la jouissance de contenu culturel canadien diversifi‚ ici et … l?‚tranger. Par l?octroi de Subventions et de Contributions et l?‚tude de l?admissibilit‚ … des cr‚dits d?imp“t, le MinistŠre prend les mesures n‚cessaires pour que du contenu canadien de toutes les sortes soit produit et commercialis‚ sous forme de livres, de p‚riodiques, de musique, de films et d?‚missions de t‚l‚vision, voire sur de multiples plateformes dans le cas de projets novateurs. Il encourage les organisations et le secteur dans son ensemble … adopter des pratiques saines et durables et … ‚tablir des partenariats … l?‚chelle nationale et internationale. Il s?agit de l?un des programmes qui gŠrent deux cr‚dits d?imp“t avec l?Agence du revenu du Canada pour les productions audiovisuelles. Le programme comprend aussi un volet de conseils sur les mesures l‚gislatives et r‚glementaires dans le secteur culturel."
Canadian Northern Economic Development Agency,86,BNL02,Business Development,"Through advice, path finding and funding this program supports the growth and expansion of northern businesses, including small and medium enterprises. (The program's objective is to encourage a competitive, diverse northern business sector that is aligned with economic development opportunities across the North)","Par l?interm‚diaire de conseils, d?aide et d?orientation et de soutien financier, ce programme appuie la croissance et l?expansion des entreprises nordiques, y compris les petites et moyennes entreprises. (Son objectif consiste … soutenir la capacit‚ concurrentielle et la diversit‚ du secteur des affaires en fonction des possibilit‚s de d‚veloppement ‚conomique dans l?ensemble du Nord.)"
Canadian Space Agency,95,BLM03,Space Capacity Development,"The Space Capacity Development Program carry out activities that range from pre-mission research and development to timely flight demonstration, with the aim of positioning the Canadian space sector for global opportunities. It offers an end-to-end approach - from idea to space - with activities that are targeted to increase space and market readiness for both science and technologies to be flight-ready for space missions whether they are commercial or government driven. It also develops the space workforce of tomorrow by supporting hands-on experience for post-secondary students and young professionals and by encouraging youth K-12 to pursue careers in Science, technology, engineering and mathematics.","Le programme de d‚veloppement de la capacit‚ spatiale mŠne des activit‚s, allant de travaux de recherche et d‚veloppement pr‚alables aux missions … des d‚monstrations de vol en temps opportun, en vue de positionner le secteur spatial canadien de fa‡on … ce qu?il puisse tirer avantage des occasions s?offrant … l?‚chelle mondiale. Ce programme propose une approche globale, allant de la g‚n‚ration d?id‚es au lancement du produit dans l?espace, qui comprend des activit‚s visant … accroŒtre la capacit‚ des sciences et des technologies … ˆtre envoy‚es dans l?espace, ainsi que leur aptitude de commercialisation, afin qu?elles puissent ˆtre int‚gr‚es … des missions spatiales, qu?elles soient … caractŠre commercial ou mises en ?uvre par le gouvernement. Ce programme ?uvre ‚galement … la mise sur pied de la main-d??uvre spatiale de demain en favorisant l?offre d?exp‚riences pratiques aux ‚tudiants de niveau postsecondaire et aux jeunes professionnels ainsi qu?en encourageant les ‚lŠves des ‚coles primaires et secondaires … faire carriŠre en science, technologie, ing‚nierie et math‚matiques."
Department of National Defence,133,BUQ08,"Science, Technology and Innovation","The Science, Technology and Innovation Program provides the Department of National Defence and the Canadian Armed Forces with an advantage in knowledge, technologies and solutions for mission success while enabling a robust innovation base for Defence excellence and security.","Le programme de sciences, technologie et innovation donne au MinistŠre de la D‚fense nationale et aux Forces arm‚es canadiennes un avantage relativement aux connaissances, aux technologies et aux solutions pour assurer le succŠs des missions tout en cr‚ant une base solide pour l'innovation afin d'assurer la s‚curit‚ et l'excellence de la D‚fense."
Environment and Climate Change Canada,137,BGS03,Community Eco-Action,"The Community Eco-Action Program is a suite of initiatives aimed at increasing Canadians? participation in activities to protect, conserve and restore the environment. The EcoAction Community Funding Program encourages local action-focused projects that will protect, rehabilitate, or enhance the natural environment, and build the capacity of communities to sustain these activities into the future. The Environmental Damages Fund receives fines resulting from successful prosecutions of environmental infractions as well as charitable donations to support actions that restore or enhance degraded environments. Funding to employers for youth internships through the Science Horizons Youth Internship Program under the Youth Employment Strategy enables youth to acquire the skills, learning experiences and opportunities they need to find and maintain employment or return to school in science, technology, engineering, and mathematics. The Federal Sustainable Development Strategy and the Canadian Environmental Sustainability Indicators provide tools, information and indicators to enable the consideration of the state of the environment and sustainable development in environmental decision-making of Canadians, the federal government and Parliament.","Le programme coAction communautaire consiste en une s‚rie d?initiatives destin‚es … accroŒtre la participation des Canadiens dans des activit‚s visant … prot‚ger, conserver et restaurer l?environnement. Le programme de financement communautaire coAction encourage les projets locaux ax‚s sur des actions visant … prot‚ger, r‚habiliter ou am‚liorer l?environnement, et … accroŒtre la capacit‚ des communaut‚s pour soutenir la viabilit‚ de ces activit‚s dans le futur. Le Fonds pour dommages … l?environnement re‡oit les sommes d'amendes provenant des poursuites judiciaires pour infractions environnementales, ainsi que des dons de charit‚, qu?il utilise pour soutenir des actions visant … restaurer et am‚liorer des milieux d‚grad‚s. Le financement d?employeurs de jeunes stagiaires, par l?initiative Horizons Sciences : Programme de stages pour les jeunes, permet … des jeunes d'acqu‚rir des comp‚tences, de vivre des exp‚riences et de profiter d'occasions dont ils ont besoin pour trouver et maintenir un emploi ou poursuivre leurs ‚tudes en science, technologie, ing‚nierie et math‚matiques. La Strat‚gie f‚d‚rale de d‚veloppement durable et les Indicateurs canadiens de durabilit‚ de l?environnement fournissent des outils, de l?information et des indicateurs permettant de consid‚rer l'‚tat de l'environnement et du d‚veloppement durable pour la prise de d‚cisions touchant … l'environnement des Canadiens, du gouvernement f‚d‚ral et du Parlement."
Environment and Climate Change Canada,137,BGR01,Clean Growth and Climate Change Mitigation,"The Government of Canada has committed to a national emissions target of 30% below 2005 levels by 2030. The Clean Growth and Climate Change Mitigation program develops and implements regulations and other instruments to reduce greenhouse gas (GHG) emissions from the Oil and Gas, Transportation, Electricity and other Industrial sectors which make a significant contribution to total GHG emissions in Canada. This will be done through a comprehensive approach which includes climate science, policy, technical and economic analysis; developing and implementing regulations and other tools targeting emissions for key sources; negotiating agreements with provinces and territories to reduce emissions of GHGs and short-lived climate pollutants; maintaining an inventory of emissions; and making science and data accessible to support regulatory development and performance monitoring.","Le gouvernement du Canada s?est engag‚ … r‚duire de 30 % ses ‚missions nationales par rapport au niveau de 2005 d?ici 2030. Le programme Croissance propre et att‚nuation des changements climatiques ‚labore et met en place des rŠglements et d?autres instruments afin de r‚duire les ‚missions de gaz … effet de serre (GES) provenant des secteurs du p‚trole et du gaz, des transports, de l?‚lectricit‚ et d'autres secteurs industriels dont la contribution aux ‚missions de GES est importante au Canada. Cela se fera par une approche exhaustive incluant la climatologie, l?analyse politique, technique et ‚conomique, l?‚laboration et la mise en place d'une r‚glementation et d'autres outils visant les ‚missions de sources cl‚s; la n‚gociation d'ententes avec les provinces et les territoires afin de r‚duire les ‚missions de GES et de polluants de courte dur‚e de vie; le maintien d'un inventaire des ‚missions; et l'accŠs … la science et aux donn‚es visant … soutenir le d‚veloppement de la r‚glementation et le suivi du rendement."
Federal Economic Development Agency for Southern Ontario,150,BNM01,Advanced Manufacturing,"The Advanced Manufacturing program promotes the long-term growth, productivity and competitiveness of Ontario?s manufacturing sector, which is undergoing significant change. These objectives are achieved through repayable contributions to eligible Ontario manufacturing firms and non-repayable contributions to not-for-profit organizations, including research institutions, centres of excellence and post-secondary institutions located in Ontario that are collaborating with an anchor firm to benefit the manufacturing sector. Manufacturing is critical to Canada?s prosperity; it provides high-quality, well-paying jobs and is an important contributor to strong economic growth in Ontario. This program supports large-scale, incremental and transformative advanced manufacturing activities intended to increase productivity; advance the development and/or adoption of cutting-edge technologies leading to product, process and technological innovations; encourage projects that will create spillover benefits for manufacturing clusters and/or global supply chains; and foster collaboration between the private sector, research institutions and post-secondary institutions. This program uses funding from the following transfer payment: Advanced Manufacturing Fund.","Le programme Fabrication de pointe promeut la croissance, la productivit‚ et la comp‚titivit‚ … long terme du secteur manufacturier de l?Ontario qui, … l?heure actuelle, fait l?objet d?un changement important. Ces objectifs sont atteints par des contributions remboursables aux entreprises de fabrication admissibles de l?Ontario et des contributions non remboursables aux organismes … but non lucratif, y compris les institutions de recherche, les centres d?excellence et les ‚tablissements d?enseignement postsecondaire situ‚s en Ontario qui collaborent avec une entreprise servant de point d'ancrage pour avantager le secteur manufacturier. Le secteur manufacturier est essentiel … la prosp‚rit‚ du Canada. Il offre des emplois de grande qualit‚ et bien pay‚s et il constitue un moteur important de la forte croissance ‚conomique en Ontario. Ce programme appuie les activit‚s de fabrication de pointe progressives, porteuses de changement et … grande ‚chelle visant … augmenter la productivit‚ et le d‚veloppement et/ou l?adoption de technologies de pointe donnant lieu … des innovations en matiŠre de produits, de proc‚d‚s et de technologies, … encourager les projets qui procurent des retomb‚es avantageuses pour les grappes de la fabrication et/ou les chaŒnes d?approvisionnement mondiales, et … favoriser la collaboration entre le secteur priv‚, les institutions de recherche et les ‚tablissements d?enseignement postsecondaire. Ce programme a recours au financement du paiement de transfert suivant : Fonds de fabrication de pointe."
Federal Economic Development Agency for Southern Ontario,150,BNM07,Eastern Ontario Development Program,"The economic challenges facing eastern Ontario have been exacerbated in recent years by the global recession and the ongoing restructuring in the manufacturing sector. Eastern Ontario?s relatively large working-age population is characterized by a high share of older workers, and the region?s youth are leaving the area for other opportunities. Furthermore, the economic hardship felt by workers, families and communities in this region is reflected in its relatively lower wages and household incomes, lower labour force participation, and higher proportion of people receiving employment insurance benefits compared to Ontario overall. The Eastern Ontario Development Program advances economic development in eastern Ontario, particularly rural communities. Through this program, FedDev Ontario is collaborating with the 15 Community Futures Development Corporations in eastern Ontario and the Eastern Ontario Community Futures Development Corporations Network Inc. to promote the growth of new and existing businesses in rural communities. Funding is directed to recipients whose projects focus on business growth, community innovation, and/or collaborative economic development. This program uses funding from the following transfer payment: Eastern Ontario Development Program.","Les d‚fis ‚conomiques auxquels est confront‚ l?Est de l?Ontario ont ‚t‚ aggrav‚s au cours des derniŠres ann‚es par la r‚cession mondiale et la restructuration en cours du secteur manufacturier. La population active assez importante de l?est de l?Ontario est caract‚ris‚e par une grande proportion de travailleurs ƒg‚s, et les jeunes de la r‚gion quittent le secteur pour d?autres d‚bouch‚s. De plus, les difficult‚s ‚conomiques subies par les travailleurs, les familles et les collectivit‚s de cette r‚gion se reflŠtent par des salaires et des revenus du m‚nage relativement inf‚rieurs, une faible participation … la vie active et une plus grande proportion de personnes qui re‡oivent des prestations d?assurance emploi par rapport … l?ensemble de l?Ontario. Le Programme de d‚veloppement de l?Est de l?Ontario fait avancer le d‚veloppement ‚conomique dans l?Est ontarien, en particulier les collectivit‚s rurales. Par ce programme, FedDev Ontario collabore avec les 15 Soci‚t‚s d?aide au d‚veloppement des collectivit‚s dans l?Est de l?Ontario et le R‚seau des soci‚t‚s d?aide au d‚veloppement des collectivit‚s de l?est de l?Ontario pour favoriser la croissance d?entreprises nouvelles et existantes dans les collectivit‚s rurales. Le financement est consacr‚ aux personnes dont les projets sont ax‚s sur la croissance de l?entreprise, l?innovation communautaire et/ou le d‚veloppement ‚conomique coop‚ratif. Ce programme puise dans des fonds tir‚s du paiement de transfert suivant : le Programme de d‚veloppement des collectivit‚s."
Federal Economic Development Agency for Southern Ontario,150,BNM03,Business Growth and Productivity,Southern Ontario companies need to increase productivity to remain competitive in the global economy. The Business Growth and Productivity program provides repayable and non-repayable contributions to for-profit and not-for profit corporations to help improve productivity of individual businesses and industry sectors so that southern Ontario can be more competitive. This program uses funding from the following transfer payment: Southern Ontario Prosperity Initiatives.,Les entreprises du Sud de l?Ontario doivent accroŒtre leur productivit‚ en vue de demeurer concurrentielles dans l?‚conomie mondiale. Le programme Croissance et productivit‚ des entreprises fournit des contributions remboursables et non remboursables aux soci‚t‚s … but lucratif et … but non lucratif afin d?aider … am‚liorer la productivit‚ des entreprises individuelles et des secteurs de l?industrie afin d?accroŒtre la comp‚titivit‚ du Sud de l?Ontario. Ce programme puise dans des fonds tir‚s du paiement de transfert suivant : Initiatives pour la prosp‚rit‚ du Sud de l?Ontario.
Federal Economic Development Agency for Southern Ontario,150,BNM04,Business Investment,"The Business Investment program provides non-repayable contributions to not-for-profit organizations offering mentorship, entrepreneurial support and seed financing to help new businesses grow and succeed. Not-for-profit recipients under this program can include incubators and accelerators, as well as angel investor networks that encourage increased investment in new businesses. Repayable contributions are also provided to start-up businesses to accelerate the commercialization of new products, processes and practices by leveraging private-sector investment. This program uses funding from the following transfer payment: Southern Ontario Prosperity Initiatives.","Le programme Investissement dans les entreprises fournit des contributions non remboursables aux organisations … but non lucratif qui offrent du mentorat, du soutien aux entrepreneurs et du financement de d‚marrage afin d?aider les nouvelles entreprises … grandir et … r‚ussir. Parmi les b‚n‚ficiaires … but non lucratif de ce programme, on trouve les incubateurs et les acc‚l‚rateurs, de mˆme que les r‚seaux d?investisseurs providentiels qui encouragent un plus grand investissement dans les nouvelles entreprises. Des contributions remboursables sont aussi offertes aux entreprises en d‚marrage afin d?acc‚l‚rer la commercialisation de nouveaux produits, de nouveaux proc‚d‚s et de nouvelles pratiques en tirant parti de l?investissement du secteur priv‚. Ce programme puise dans des fonds tir‚s du paiement de transfert suivant : Initiatives pour la prosp‚rit‚ du Sud de l?Ontario."
