Department,Department Code,Transfer Payment Program,Start Date,End Date,Type,Type of Appropriation,Fiscal Year for terms and conditions,Description,Expected Results,Fiscal year of last completed evaluation,Decision Following the results of last evaluation,Fiscal year of planned completion of next evaluation,General target recipient groups,Initiative to engage applicants and recipients,
Canadian Northern Economic Development Agency,86,Promoting Regional Development in Canada's Three Territories,01/04/2009,Ongoing,Contribution,Voted appropriation annually through Estimates,2014-15,"Through this transfer payment authority, CanNor delivers a range of northern economic development contribution programs / funding initiatives to promote the economic development of the North, in order to strengthen territorial economies and increase participation by Northerners.

For 2019-20, these programs / funding initiatives include: the Strategic Investments in Northern Economic Development (SINED) program, the Certification and Market Access Program for Seals (CMAPS), and the Roadmap for Canada's Official Languages (Economic Development Initiative [EDI])."," 
Expected results

Short Term

Support 10 infrastructure studies
Increase the proportion of Northerners benefiting from its programs (i.e., direct support to SMEs, including women and youth)
Increase training and capacity building opportunities
Track the amount of funding leveraged from other organization or sources targeting a minimum of $1.00 per dollar invested
Medium Term

Support increased economic development and diversification in the territories by supporting projects that will create, maintain or expand to 100 jobs
Track infrastructure projects funded to determine the proportion that have progressed toward completion
Long Term

Contribute to territorial economies, to be measured as labour market participation that is comparable to the national average
Performance Measures and Indicators

Short Term

Number of infrastructure studies funded across the territories
Percentage increase in the number of small and medium sized enterprises directly supported through SINED funding
Percentage of businesses directly supported through SINED funding that are majority-owned by women or youth (<30 years)
Number of Northerners benefitting from capacity building activities and training developed through SINED funding
Funding leveraged from other organizations or sources
Medium Term

Growth in northern GDP
Number of direct jobs (full-time year of employment) expected to be created, maintained or expanded as a result of SINED funding
Percentage of SINED investments in economic infrastructure studies that led to infrastructure projects within 5 years
Long Term

Labour market participation by Northerners",2017-2018,Continuation,2011-2023,"Eligible recipients include social enterprises, individuals, other levels of government and other non-federal entities, public or private, that have an interest in economic development in the North."," 
CanNor will support innovation and economic development and growth in the territories through the Strategic Investments in Northern Economic Development (SINED) program. In 2019-20 SINED will continue to support projects that foster the sustainable growth of existing sectors such as resource extraction sectors and their supply chains, as well as the development and growth of new sectors (e.g. tourism, fisheries) in a manner which increases community capacity, maximizes jobs and the retention of wealth within the territories. SINED will also promote infrastructure investments and development through projects that utilize local and regional opportunities and improve small-scale economic infrastructure.",
Canadian Northern Economic Development Agency,86,Regional Growth Through Innovation,," REGI - ongoing
WEF - March 31, 2020
WES Ecosystem Fund - March 31, 2023"," REGI - Grant and Contribution
WES - Contribution",Voted appropriation annually through Estimates,," 
The Regional Economic Growth Through Innovation (REGI) initiative builds on the objectives of the Innovation and Skills Plan. The goal of REGI is to provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.

The program will provide assistance through two new program streams:

Business Scale-up and Productivity Stream (BSP): Invest in and support businesses at various stages of development, including high-growth firms to accelerate their growth and assist them in scaling up, enhance their productivity and competitiveness in both domestic and global markets.
Regional Innovation Ecosystems Stream (RIE): Create, grow and nurture inclusive regional ecosystems that support business needs and foster an entrepreneurial environment conducive to innovation, growth and competitiveness.
The Women Entrepreneurship Strategy (WES) provides nationally coordinated, regionally tailored investments to help women entrepreneurs and support regional innovation ecosystems through two program streams:

WES Ecosystem Fund: A five-year program to help non-profit, third-party organizations deliver support for women entrepreneurs and address gaps in the ecosystem.
Pilot Contribution Program (Women Entrepreneurship Fund): A two-year program that invests directly in women-owned or women-led businesses to help them grow and reach new markets.
Contributions issued under REGI may be unconditionally or conditionally repayable, or non-repayable. Contributions issued under the WES are non-repayable only",,Not Applicable ? new program,Not Applicable,To be determined," Incorporated for-profit companies, not-for-profit organizations, industry associations, post-secondary institutions, Indigenous organizations, business accelerators, incubators, women-led businesses, angel networks; social enterprises; a group of eligible recipients such as an industry association or consortium; a municipality and all other municipal-type organizations; and a federal or provincial crown corporation/ organization or any other entity created by the provincial government or a provincial department.",,
Canadian Space Agency,95,"Research, Awareness and Learning in Space Science and Technology",01/10/2009,Ongoing,Grant and Contribution,Voted appropriation annually through Estimates,2009-2010," 
This program supports knowledge development and innovation in the CSA's priority areas while increasing the awareness and participation of Canadians in space-related disciplines and activities. The program has two components:

Research and
Awareness and Learning.
The Research Component aims to support the development of science and technology; foster the continual development of a critical mass of researchers and highly qualified people in Canada; and support information gathering and space-related studies and research pertaining to Canadian Space Agency priorities.

The Awareness and Learning Component aims to provide learning opportunities to Canadian students in various space-related disciplines; to support the operations of organizations dedicated to space research and education; and to increase awareness of Canadian space science and technology among Canadian students and their participation in related activities.

This Transfer Payment Program is composed of grants and non-repayable contributions.","Research Component

Result #1: Increased knowledge from research projects in priority space S&T areas.

Performance Indicator: Number of new and ongoing space science and technology initiatives (Announcement of Opportunity) and projects.

Performance Indicator: Number of completed space science and technology initiatives (Announcement of Opportunity) and projects.

Performance Indicator: Number of highly qualified personnel involved in space science and technology initiatives and projects.

Result #2: Maintained and/or increased space focus in universities, post-secondary institutions, and not-for-profit and for-profit organizations.

Performance Indicator: Number of universities, post-secondary institutions and not-for-profit and for-profit organizations involved in financed projects.

Result #3: Partnerships established and/or sustained.

Performance Indicator: Number and type of new partnerships created and sustained.

Performance Indicator: Number of research partnerships (national and international).

Result #4: Partners' contributions leveraged.

Performance Indicator: Number of agreements leveraged funding.

Performance Indicator: Proportion of leveraged funds vs. grant/contribution funds.

Result #5: Access to international collaboration for Canadian organizations.

Performance Indicator: Number of agreements leveraged by international funding.

Awareness and Learning Component

Result #6: Increased knowledge and skills in space-related disciplines among target audience

Performance Indicator: Number and type of learning events attended

Result #7: Target audience reached through learning activities and materials related to science and technology

Performance Indicator: Number of persons reached by audience segments",2016-2017,Continuation,2020-2021,"Industry-related (for example, for-profit businesses)
International organizations (for example, non?profit international organizations)
Persons (for example, students)
Non-profit organizations (for example, universities, research institutions)","Since January 2012, an initiative to engage recipients has been undertaken through an automated annual follow-up of projects. The CSA has extended this initiative via its web page in order to establish a dialogue with potential applicants and recipients.

Consultations, presentations to, and discussions with, the academic and industrial communities as well with other potential recipient groups, are ongoing and will continue.",
Department of National Defence,133,Innovation for Defence Excellence and Security,2017-2018,2036-2037,Grant and Contribution,Voted appropriation annually through Estimates,2017-2018,"The purpose of the IDEaS Grants and Contribution Program is to support, increase and sustain Science and Technology (S&T) community capacity external to DND that can generate new ideas and formulate solutions to Canada?s current and future defence and security requirements. This will be achieved by funding S&T initiatives that are in line with defence and security S&T priority areas.

The objectives are as follows:
Support basic and applied research, analysis, technology development and knowledge transfer leading to innovative solutions to key S&T challenges for defence and security identified by DND and the Public Safety Portfolio;
Mobilize, engage and support national academic, public and industry researchers to advance innovation toward S&T challenges for defence and security; and
Encourage, enhance, sustain and support innovation networks and collaborations between other levels of government, industry, and academia to help build a critical mass of expertise, knowledge and solutions for the defence and security of Canada.","Short-term: DND to have effective mechanisms to engage innovators, solicit ideas, and initiatives to address defence and security challenges. This will be measured by the percentage of posted S&T challenges that succeed in soliciting responses from innovators.

Medium-term: Canadian innovators will be engaged in solving defence and security challenges. This will be measured by evaluating the percentage of posted defence and security problems or questions that result in projects or initiatives addressing them.

Long-term: Canadian S&T networks in defence and security are sustained and primed to develop advice and innovative solutions to protect, secure and defend Canada and its citizens.",Not Applicable ? new program,Not Applicable,2022-2023,"Eligible recipients for funding are:

Canadian universities and educational institutions chartered in Canada;
Incorporated Canadian not-for-profit organizations or associations;
Provincial/territorial or municipal government organizations;
Incorporated Canadian for-profit companies, organizations or associations; and
Any group, cluster or consortium composed of eligible recipients, and their researchers and professionals, including their international S&T collaborators. All eligible recipients must possess the legal status necessary to enter into a Contribution Agreement.
Federal and provincial crown corporations are not eligible for funding under the Grants and Contribution Program.","The IDEaS program strives to communicate to its stakeholders effectively, through a wide range of products and to a number of different audiences across Canada. Program applicants are supported through a dedicated program website (www.canada.ca/defence-IDEaS) which provides access to calls for proposals, program guides, eligibility requirements and program administration contact details (DND.IDEaS-IDEeS.MDN@forces.gc.ca).

Calls for proposals were widely advertised through public press releases, e-mail distribution lists, and liaison with a wide range of associations, other government departments, and other stakeholders. For example, since the launch of the program in April 2018, the program has held more than 40 information sessions, presentations and discussions with thousands of innovators in various forums across Canada, including conferences, discussion panels, information sessions and meetings with companies and associations that are interested in IDEaS.

The program continues to engage with innovators to ensure it disseminates information that is coherent, relevant and results oriented.",
Environment and Climate Change Canada,137,Science Horizons Program,1997,Ongoing,Contribution,Voted appropriation annually through Estimates,2016-2017,"The objective of the Program is to create opportunities for youth in the science, technology, engineering, and mathematics (STEM) fields by providing them with hands-on experience with potential employers. Eligible organizations evaluate potential employers who receive wages subsidies in order to hire youth as interns on projects that focus on environmental studies.  ",Create up to 179 internships in 2018?19 and have 80% of past interns either obtain employment or return to advanced-level studies in STEM fields.,2014-2015,"As part of the Summative evaluation of YES, Recommendations #1 and #5 apply to the Science Horizons program.
Recommendation #1: It is recommended that all Youth Employment Services (YES) partner departments/agencies continue to monitor funding recipients and to ensure adherence to the Career Focus eligibility criteria.

Recommendation #5: It is recommended that Employment and Social Development Canada (ESDC) and YES partner departments/agencies work to improve the distribution of relevant labour market and career information to youth.",2019-2020,"The direct recipients of Environment and Climate Change Canada (ECCC) funding are the Delivery Agents administering Science Horizons. Indirectly, recipients of the wage subsidy are for-profit organizations, not-for-profit organizations, municipal governments, Indigenous organizations, and post-secondary educational institutions.","For 2019?20, ECCC held a more open call for organizations to apply to become Delivery Agents. Each Delivery Agent targets a specific market segment and uses its own network of organizations and educational institutions to promote Science Horizons. This includes sending informational emails to their networks, attending career or job fairs at colleges and universities, and participating in conferences and networking events with organizations in the environmental and clean technology industry.

In addition, ECCC uses social media and the Departmental internet site to promote success stories on employers and interns who have benefitted from the program and other information about Science Horizons.",
Environment and Climate Change Canada,137,Low Carbon Economy Fund,2018-2019,2021-2022,Contribution,Voted appropriation annually through Estimates,2018-2019,"The Low Carbon Economy Fund (LCEF) is a critical tool for advancing incremental domestic mitigation action under the Pan-Canadian Framework (PCF) to support its implementation, transition Canada to a low-carbon economy, and work towards meeting or exceeding commitments under the Paris Agreement.

The Low Carbon Economy Fund (LCEF) supports provincial and territorial mitigation action in the context of the PCF. Specifically the LCEF is to support actions that materially reduce greenhouse gas (GHG) emissions (includes actions that materially increase removals where relevant), are incremental to current plans, and achieve significant reductions within the period of Canada?s first Nationally Determined Contribution under the Paris Agreement. Also, where possible, resources will be allocated towards those projects that yield the greatest absolute greenhouse gas reductions for the lowest cost-per-tonne.","Continue to support collaboration and maintain momentum with provinces and territories who are signatories to the PCF, while also demonstrating the Government?s leadership in addressing climate change; and effectively implementing proposals approved for funding under the LCEF in order to contribute to Canada?s transition to a resilient, low-carbon economy.",Not Applicable ? new program,Not Applicable,Unknown,"Provincial, territorial, and municipal governments and provincial Crown corporations; Indigenous organizations and communities; not-for-profit non-governmental organizations; individuals; research, academic and educational institutions; private corporations and businesses.",ECCC will continue to develop communications and engagement products to build awareness of projects funded by the LCEF. These will complement the work already done at the program development and launch stages during fiscal years 2017-18 and 2018-19.,
Federal Economic Development Agency for Southern Ontario,150,Advanced Manufacturing Fund,01/04/2014,31/03/2019,Contribution,Voted appropriation annually through Estimates,2014-15,"The Advanced Manufacturing Fund is aimed at promoting the long-term growth, productivity and competitiveness of Ontario's manufacturing sector. This is accomplished by supporting large scale and transformative advanced manufacturing activities; advancing the development and/or adoption of cutting-edge technologies; encouraging projects that have spillover benefits for manufacturing clusters and/or global supply chains; and fostering collaborations between the private sector, research institutes, and post-secondary institutions.",Ontario businesses are more competitive and productive; there is increased commercialization from research and development activities; and there are improved employment opportunities in southern Ontario.,2017-2018,Continuation,2019-2020,"Non-profit organizations (for example, universities, research institutions, health-related entities)
Industry-related (for example, for-profit businesses, specific industry sectors)","ecipients FedDev Ontario representatives participate in outreach activities, including conferences and meetings with stakeholders to identify potential future projects and help them path find to other federal and provincial funding opportunities, as appropriate. They also engage with recipients throughout the project implementation period and identify opportunities for project milestone announcements.",
Federal Economic Development Agency for Southern Ontario,150,Eastern Ontario Development Program,01/04/2014,31/04/2019,Contribution,Voted appropriation annually through Estimates,2014-2015," The Eastern Ontario Development Program is an economic development initiative that addresses economic challenges in eastern Ontario by taking advantage of innovative opportunities in the region. It is a third party delivery program, delivered through eastern Ontario's 15 Community Futures Development Corporations (CFDCs) and the Eastern Ontario CFDC Network. Applications for funding are solicited and assessed by each CFDC and the Eastern Ontario CFDC Network on the basis of their potential to stimulate local and regional economic development and create jobs.","The economic status of eastern Ontario communities is improved, and eastern Ontario businesses are more competitive. This will be achieved by providing businesses with increased access to capital and by increasing investment in community economic capacity. Intermediate outcomes include increased employment opportunities and increased value and diversity of markets.",2017-2018,Continuation,2019-2020," Eligible direct recipients of EODP funding are the 15 CFDCs in eastern Ontario and the Eastern Ontario CFDC Network. The Network and CFDCs deliver this funding to a variety of eligible applicants including: not-for-profit organizations (including municipalities and municipal organizations), corporations, community economic development organizations, aboriginal organizations, and post-secondary institutions.",FedDev Ontario engages with CFDCs and the Eastern Ontario CFDC Network through active project monitoring by program officers and regular meetings with individual CFDCs and the Eastern Ontario CFDC Network.,
Federal Economic Development Agency for Southern Ontario,150,Southern Ontario Prosperity Initiatives,01/04/2014,31/04/2019,Contribution,Voted appropriation annually through Estimates,2014-2015," The Southern Ontario Prosperity Initiatives ? Investing in Business Growth and Productivity, Investing in Business Innovation, Investing in Commercialization Partnerships, and Investing in Regional Diversification ? make up FedDev Ontario's core transfer payment program. The four initiatives support economic development, diversification, job creation, and self-reliant communities in southern Ontario.","Southern Ontario businesses are more competitive, and the region's communities have an improved economic status.",2017-2018,Continuation,2019-2020,"Non-profit organizations including industry associations, innovation and economic development organizations, angel investor networks, research organizations and publicly-funded post-secondary institutions located in southern Ontario, For-profit businesses including small and medium sized enterprises, start-ups and multinational enterprises located in southern Ontario.","s 
FedDev Ontario representatives participate in outreach activities, including conferences, meetings, and roundtable sessions with stakeholder groups to engage potential applicants. They work with potential applicants to support receipt of quality and complete applications. FedDev Ontario representatives also undertake risk based project monitoring activities that includes regular contact with the recipients to respond to reporting requests and ensure timely progress and completion of projects. They also engage with recipients throughout the project implementation period and identify opportunities for project milestone announcements.
FedDev Ontario representatives also engage with regional economic stakeholders and for-profit companies through participation in the Accelerated Growth Services initiative to coordinate government support for high growth companies located in southern Ontario.",
Federal Economic Development Agency for Southern Ontario,150,Community Futures Program,1986,Ongoing,Contribution,Voted appropriation annually through Estimates,Nov-2010,"The Community Futures Program supports Community Futures Development Corporations (CFDCs) in southern Ontario, which assist rural communities in developing and implementing local solutions to support community economic development and the growth of small businesses."," Rural communities in southern Ontario are strengthened and better able to respond to future economic challenges. Funding helps communities pursue
economic stability, growth, and job creation;
diversified and competitive local rural economies; and
economically sustainable communities.
",2013-2014,Continuation,2018-2019,CFDCs located in rural southern Ontario.,"FedDev Ontario engages with southern Ontario's CFDCs through active project monitoring by program officers and regular meetings with individual CFDCs, the Ontario Association of Community Futures Development Corporations, and two regional CFDC networks.",
Federal Economic Development Agency for Southern Ontario,150,Regional Growth Through Innovation,18/10/2018,"REGI ? March 31, 2023

WEF ? March 31, 2020

WES Ecosystem Fund ? March 31, 2023",Contribution,Voted appropriation annually through Estimates,2018-2019," 
Regional Economic Growth through Innovation (REGI) consolidates the existing suite of innovation programs offered by the regional development agencies (RDAs) into two nationally consistent and regionally tailored program streams. Under REGI, innovation funding programs across all of Canada's six RDAs will focus on two key streams:

Business Scale-up and Productivity: Investing in and supporting businesses at various stages of development, including high-growth firms, to accelerate their growth, assist them in scaling up and enhance their productivity and competitiveness in both domestic and global markets.
Regional Innovation Ecosystem: To create, grow and nurture inclusive regional ecosystems that support business needs and foster an entrepreneurial environment conducive to innovation, growth and competitiveness.
The Women Entrepreneurship Strategy (WES) will support women entrepreneurs in starting and growing their business through two program streams:

WES Ecosystem Fund: A five-year program that will strengthen capacity within the entrepreneurship ecosystem and close gaps in service for women entrepreneurs.
Women Entrepreneurship Fund: A two-year program that invests directly in women-led businesses to help them grow and reach new markets.
Transfer payments will be repayable and non-repayable contributions.","Businesses are more innovative and competitive, and the region's communities have an improved economic status. Investments accelerate the growth of high potential firms and nurture strong regional innovation ecosystems. Women-owned and women-led businesses start and grow world-class companies that can compete and win on the world stage, boost economic growth and create good middle-class jobs",Not Applicable ? new program,Not Applicable,2023-2024,"Not-for-profit organizations including industry associations, innovation and economic development organizations, angel investor networks, research organizations and publicly-funded post-secondary institutions located in southern Ontario, for-profit businesses including small- and medium-sized enterprises, start-ups, multinational enterprises located in southern Ontario and for-profit organizations that are women-owned or women-led.","engage applicants and recipients 
FedDev Ontario representatives participate in outreach activities, including conferences, meetings and roundtable sessions with stakeholder groups to engage potential applicants, supporting receipt of quality and complete applications. For funded projects, FedDev Ontario representatives also undertake risk-based project monitoring activities that includes site visits, regular contact with the recipients regarding reporting and claims requirements to ensure timely progress and completion of projects. FedDev Ontario representatives engage with recipients throughout the project implementation period including project milestone announcements and communications events.

FedDev Ontario representatives engage with regional economic stakeholders and for-profit companies through participation in the Accelerated Growth Services initiative that coordinates government support for high-growth companies located in southern Ontario.",
Fisheries and Oceans Canada,125,British Columbia Salmon Restoration and Innovation Fund,2019-2020,2023-2024,Contribution,Voted appropriation annually through Estimates,2018-2019,"The British Columbia Salmon Restoration and Innovation Fund (BCSRIF) is a new $142.85M joint Canada-BC Fund, for which the federal government is contributing 70% ($100 million) to help restore and protect vulnerable Pacific salmon species and habitat, and support the fish and seafood sector in BC to improve its long-term environmental and economic sustainability.","The BCSRIF and QFF align with DFO?s Departmental Results Framework (DRF) Result 1.1 that Canadian fisheries are sustainably managed, and that Canadian aquaculture is sustainably managed. They directly support the department?s core responsibility to ?manage Canada?s fisheries, Indigenous fisheries programs, aquaculture activities and support commercial fishing harbours while applying relevant legislation?.",Not Applicable ? new program,Not Applicable,2022-2023,"First Nations communities, other Indigenous recipients and organizations, non-profit organizations",Not applicable,
Fisheries and Oceans Canada,125,Adoption of Clean Technology Within the Fisheries and Aquaculture Industry Through the Fisheries and Aquaculture Clean Technology Adoption,18/12/2017,31/03/2021,Contribution,Voted appropriation annually through Estimates,2017-2018,"The Fisheries and Aquaculture Clean Technology Program (FACTAP) aims to encourage the Canadian fisheries and aquaculture industries to use clean technologies and measures, without incurring large financial risks. The long-term goal is to reduce the potential environment impacts of their activities.

FACTAP offers funding to assist the adoption of market-ready clean technologies, processes, and sustainable practices in the day-to-day operations of aquaculture facilities and wild capture harvesting.","Medium-Term (3 Years)

The medium-term program results are measured by the number of operators in the fisheries and aquaculture sectors that adopt market-ready clean technologies. For the aquaculture sector, the medium-term targets for the Program are based on previous experience with the delivery of the Aquaculture Innovation and Market Access Program (AIMAP, 2008-2013). For the fisheries sector, there is no previous program history, and the target is based on anticipated outcomes and efforts that will be made to ensure an equitable distribution of funding between the fisheries and aquaculture sectors.

Outcome(s):

Operators in the Canadian Fishery and Aquaculture Sectors Implement Clean Technology

Performance indicators & Targets:

Fisheries Sector: 54 fishing vessels adopt clean technology by March 31, 2020.

Aquaculture Sector: 54 aquaculture sites adopt clean technology by March 31, 2020.

Data strategy: Final project reports

Long-Term (10 Years)

In the long-term, results are focused on measurable improvements to the environmental performance across the fisheries and aquaculture sectors. These outcomes are directly related to the purpose and objective of the Program in terms of improved environmental performance for both the aquaculture and fisheries sectors in Canada and the wider adoption of clean technologies in these sectors.

Outcome(s):

Improved Environmental Performance of the Fisheries and Aquaculture Sectors

Performance indicators & Targets:

% of stakeholders who report a reduction in environmental impact.: Baseline to be established in 2018-19 for target in 2021

# of additional fisheries/ aquaculture businesses or sites that adopt a technology funded by FACTAP, either through self-funding or other funding mechanisms.: Equal to the number of technologies funded under FACTAP by 2021

Data strategy: Final project reports & Survey of fisheries and aquaculture industry associations (Third party data)",Not Applicable ? new program,Not Applicable,2020-2021,"Eligible recipients include individuals (self-employed), companies, indigenous organizations (groups, associations, or communities) and industry or professional associations currently active in or supporting activities related to the fish and seafood sectors including:

harvesting
aquaculture
processing","The FACTAP website inviting expressions of interest or full project proposals went live as of December 18, 2017 in concert with Ministerial announcement of the new program. Regional leads serving as ambassadors and coordinators for the program were set up in Atlantic, Central and Pacific regions. Employees from Fisheries and Oceans Canada are serving as departmental representatives on the newly established Government of Canada Clean Tech Hub which is soliciting and directing potential applications for FACTAP program support.",
Fisheries and Oceans Canada,125,Atlantic Canada's Fish and Seafood Sector,2017-2018,31/03/2024,Contribution,Voted appropriation annually through Estimates,2017-2018,"The Contribution Program to Support Atlantic Canada?s Fish and Seafood Sector, also known as the Atlantic Fisheries Fund (AFF), is a seven year, $325 million contribution program to assist in transitioning the fish and seafood sector in Atlantic Canada and support the sector across Canada to capitalize on upcoming free trade agreements and achieve sustainable Canadian fisheries in economic and environmental terms.

The objectives of the AFF are to:

Increase productivity, competitiveness, quality, and sustainability in the fish and seafood sector;
Enhance capacity to adapt to and address ecosystem shifts and their impacts on the fish and seafood sector, including shifts related to climate change; and
Increase recognition of Canadian fish and seafood products as market-leading in terms of quality and sustainability.
In addition, the AFF is a federal/provincial cost-shared program with a 70/30 funding ratio over the life of the program.","Incremental economic growth will be realized;
The fish and seafood sector will be recognized as a global leader in providing high-quality, sustainably sourced fish and seafood;
Access to new markets and/or enhanced existing markets, globally;
Value-added, quality, and sustainable fish and seafood products will be provided to markets globally;
The fish and seafood sector will respond to market demands through innovative processes and products;
The fisheries sector will be understanding of and adaptable to transitioning ecosystems impacted by climate change; and
Critical infrastructure will be adapted to respond to changing conditions.",Not Applicable ? new program,Not Applicable,2022-2023,"The following are eligible recipients under the Innovation, Infrastructure, and Science Partnerships pillars of the program and must reside in a participating province or territory and be active in or support activities (such as research and development or science) related to the fish and seafood harvesting, processing, or aquaculture sectors:

Commercial enterprises, which include:
Sole proprietorships;
Partnerships (non-incorporated business owned by more than one individual);
Co-operatives; or
An incorporated entity.
Non-commercial organizations, which include:
Industry associations;
Post-secondary institutions;
Research and innovation institutions;
Academics;
Provincial crown corporations; and
Indigenous organizations or groups other than commercial enterprises.
The following are eligible recipients under the Canadian Fish and Seafood Program pillar and must reside in a participating province or territory and be involved in or represent the fish and seafood harvesting, processing, or aquaculture sectors:

Not-for profit organizations operating on a national or sector-wide basis in the fish and seafood sectors;
Not-for-profit industry organizations operating on a regional basis in the fish and seafood sectors that represent the majority of production within that sector and can demonstrate their ability to deliver a project from a national perspective;
Marketing alliances and technical marketing organizations.
All eligible recipients must possess the legal capacity necessary to enter into a contribution agreement.","Since the AFF program was announced by the Minister in March 2017, the following initiatives were undertaken to engage applicants and recipients:

Outreach with interested recipient groups including industry, associations, and Indigenous communities;
Participation / presentations at fish and seafood industry conferences;
Participation in DFO- or industry-led round tables, etc.;
Meetings with other federal departments with grant and contribution programs to discuss the AFF program and how it may be able to leverage other grant and contribution programs;
DFO website specific to the Atlantic Fisheries Fund including program details, application forms, etc.;
Toll-free telephone line for inquiries;
Internal DFO presentations to other sectors and units;
One-on-one consultation with applicants and/or potential recipients and an AFF Program Officer, Manager or Director;
Joint applicant-requested meetings with provincial representatives.",
Fisheries and Oceans Canada,125,Atlantic Fisheries Fund,,,,,,,,,,,,,
Global Affairs Canada,126,Global Markets Support Program,11/12/2008,Ongoing,Contribution,Voted appropriation annually through Estimates,"2008-2009 (updated 2013-2014 to add the Foreign Trade Zones Marketing Program [FTZ-MP], and 2015-2016 to add the CanExport program)","The GMSP harmonizes previously existing programs, a five-year foreign trade zone component and a five-year exports and trade component under one umbrella mechanism comprising the following:

Invest Canada-Community Initiatives;
Global Opportunities for Associations;
Going Global Innovation;
Foreign Trade Zones Marketing Program (FTZ-MP); and
CanExport
The objective of the program is to build a stronger and more effective Canadian capacity to compete in the global economy. Recipients are not required to repay funds obtained under this transfer payment program.","Invest Canada - Community Initiatives
Enhance the capability and effectiveness of Canadian communities to attract, retain and expand foreign direct investment (FDI), as measured by analysis of recipient performance reports and surveys.
Key Performance Measures and Indicators:

Number of leads generated from program-funded activities;
Recipient?s feedback on whether or not knowledge of opportunities has improved and in what manner; and
Number of potential investors who requested information, participated in site visits and/or submitted investment proposals.
Global Opportunities for Associations 
Stimulate the engagement of Canadian industry associations, their members, and non-member firms in international markets, in order to expand commercial linkages and facilitate future successes abroad, as measured by analysis of recipient performance reports and surveys.
Key Performance Measures and Indicators:

Evidence that more Canadian companies are involved in international business as indicated by agreements/negotiated joint ventures (partnerships, distributors, agents, etc.) within three years of project completion; and
Number of companies that have expanded their international business.
Going Global Innovation 
Increase Canadian science and technological innovation and commercialization opportunities as measured by analysis of recipient performance reports and surveys. 
Key Performance Measures and Indicators:

Number of collaborative international research and development initiatives that have been facilitated by GMSP-funded projects within three years of project completion (as evidenced by formal agreements entered into);
For each collaborative international research and development initiative that has been facilitated by GMSP-funded projects, recipient?s feedback on whether or not GMSP support has led or will lead to the commercialization of products, technologies, etc. and the potential value; and
Number of partnerships entered into between Canadian researchers and key players in foreign countries within a year of project completion (as evidenced by agreements entered into, such as memorandums of understanding and letters of intent).
Foreign Trade Zones Marketing Program (FTZ-MP)
Enhance Canada?s globally competitive business environment through promotion of Canada?s foreign trade zone advantage to potential foreign investors, as measured by analysis of recipient performance reports and surveys.
Key Performance Measures and Indicators:

Number of leads generated from program-funded activities;
Recipient?s feedback on whether or not knowledge of opportunities has improved and in what manner;
Number of potential investment opportunities identified, as indicated by potential investors who requested information, participated in site visits and/or submitted investment proposals;
Number and source of new FDI (from existing and/or new investors) received that was facilitated by FTZ-MP-funded projects; and
Number of jobs created that were facilitated by FTZ-MP-funded projects.
CanExport
Provide direct financial assistance to Canadian small and medium-sized enterprises (SMEs) seeking to develop new markets, especially in high-growth emerging markets.
Key Performance Measures and Indicators:

Evidence that Canadian SMEs have started exporting within three years of project completion;
Evidence that Canadian SMEs have diversified their export markets within three years of project completion; and
Number of companies that have expanded their international business development efforts.",2014-2015,Continuation,2017-2018,"Each component targets different groups of eligible recipients, all based in Canada:

Invest Canada - Community Initiatives: municipalities, communities, and non-profit organizations and locally based organizations acting as a third party or intermediary on behalf of a number of eligible communities;
Global Opportunities for Associations: trade or industry associations (or a regional association with a national perspective) or national horizontal/multi-sectorial organizations;
Going Global Initiative: Canadian researchers from private companies, universities and non-government research centres (all levels of government);
FTZ-MP: Canadian regional organizations and non-profit organizations; and
CanExport: SMEs.","Acquire feedback on programs and identify potential areas of improvement through questionnaires submitted by recipients;
Add a section on the website for feedback from recipients;
Scope program evaluation to include recommendations for recipient engagement; and
Engage recipients through the Trade Commissioner Service/client acquisition.",
Global Affairs Canada,126,Canadian International Innovation Program,,Ongoing,Contribution,Voted appropriation annually through Estimates,,The Canadian International Innovation Program (CIIP) is a contribution program that fosters and supports collaborative industrial research and development projects with high potential for commercialization between Canada and partner countries. It also stimulates bilateral science and technology networking and matchmaking activities to further new partnerships and accelerate the commercialization of research and development.,,2014-2015,,2019-2020,Canadian small and medium-sized enterprises are the priority eligible recipients for CIIP. Occasional exceptions may be made to include larger companies if a unique benefit to Canada is identified.,,
"Innovation, Science and Economic Development Canada",130,Automotive Innovation Fund,09/05/2008,"March 31, 2021; Consolidated into SIF July 5, 2017",Contribution,Voted appropriation annually through Estimates,2016-2017,"The Automotive Innovation Fund (AIF) supports strategic, large-scale research and development projects to develop innovative, greener and more fuel-efficient vehicles.","Contributions provided by AIF are expected to encourage recipients to undertake R&D activities in innovative technologies that would develop and build greener, more fuel-efficient vehicles and invest in state-of-the-art, energy-efficient assembly and powertrain facilities.

These investments will help maintain a strong, competitive Canadian automotive industry that contributes to economic growth and job creation.",2017-2018,Continuation,Not applicable," Automotive manufacturers, including large parts suppliers."," ISED conducts regular outreach with companies (original equipment manufacturers and suppliers) and industry associations, attends industry events and conferences.",
